"Cor","PValue","QValue","label","numCellLines"
"-0.08553770146143057","0.0036973446530052744","0.08119444798326217","NEXMIF","1150"
"-0.08563387834605514","0.003658853031710088","0.08055598302891182","KCNC3","1150"
"-0.08567737639771411","0.003641564179583898","0.08039458901988296","USP30","1150"
"-0.08570267761167082","0.003631542052835657","0.08036842160137074","DHX29","1150"
"-0.08570633215096053","0.003630096516557711","0.08036842160137074","FBXO5","1150"
"-0.08572634625110558","0.0036221892947385374","0.08036842160137074","DCUN1D4","1150"
"-0.08578794493888903","0.0035979507976491762","0.08018262173948981","IRAG1","1150"
"-0.08579314472849596","0.0035959114886435525","0.08018262173948981","ERBB2","1150"
"-0.0858094152661767","0.003589537116584232","0.08018262173948981","ITGA3","1150"
"-0.08584457089749808","0.0035757990945493854","0.08017194640951027","EGR3","1150"
"-0.0858679810675267","0.0035666774443831087","0.08014236271474724","CCDC116","1150"
"-0.08590224878438817","0.0035533633252559423","0.07998340316467553","ALPI","1150"
"-0.08598020847441293","0.003523241524722189","0.07954706834354905","GSPT1","1150"
"-0.08600102579763431","0.0035152375448752517","0.07954387391558325","VPS50","1150"
"-0.08607680562261869","0.003486240584395782","0.07899220884405117","RFC1","1150"
"-0.0861313414993507","0.0034655072723278725","0.07862656884312058","SHC1","1150"
"-0.08614388347745602","0.0034607549742134394","0.07862302170500572","NEK5","1150"
"-0.08619773132871275","0.003440418650903616","0.07826494928325553","DERL2","1150"
"-0.0862069977343089","0.0034369300511823114","0.07826494928325553","FRRS1L","1150"
"-0.08624274546480765","0.003423501921708641","0.07810958601619886","GRB7","1150"
"-0.08625702843408709","0.0034181500750438236","0.07810958601619886","NUP88","1150"
"-0.08636831232018843","0.003376711664729745","0.07753745832017685","SMARCAD1","1150"
"-0.08638305109788535","0.003371257827418917","0.07751627372803147","ATOH8","1150"
"-0.08639439619527547","0.003367065221887233","0.07751627372803147","DDR2","1150"
"-0.0864312160877828","0.003353490994915712","0.07731559359841386","TINAG","1150"
"-0.08643902997400951","0.11539939587143001","0.5936918458746399","INTS4","333"
"-0.08650827640120548","0.0033252424569812787","0.0768715171778091","RNASE2","1150"
"-0.08653385695313907","0.0033159131725813444","0.07675957597205556","GRK2","1150"
"-0.08654070061173547","0.0033134213150490064","0.07675957597205556","YIPF1","1150"
