AGL	BCL2L15
ATOH1	BCL2L2
ASRGL1	BCL6B
ATRNL1	BCL7A
APOBEC3B	BCL9
ARHGAP20	BCO2
ABL1	BCR
ABHD12B	BDH2
ACKR4	BDH2
ALCAM	BDH2
APBB2	BDH2
APBB3	BDH2
AWAT2	BDH2
B3GNT8	BDH2
ATP6V0D2	BDKRB1
AK7	BDKRB2
AK7	BEGAIN
ASPG	BEGAIN
BCL11B	BEGAIN
BDH2	BEND7
B4GALT2	BEST4
B4GALNT4	BET1L
ATP5MC3	BEX2
ARMT1	BEX3
ACTBL2	BFSP2
ARHGEF10L	BHLHA9
B3GAT1	BHLHA9
ASB15	BHLHE41
ABCG2	BHMT
ADPRS	BICDL2
ANKRD24	BICDL2
ARL4C	BICDL2
ARMC6	BICDL2
ASB16	BICDL2
BICRA	BICRAL
ABHD15	BID
APAF1	BID
AQP4	BID
ARHGEF25	BID
ATG4D	BID
BAD	BID
BCAT2	BID
AACS	BIN3
ACADS	BIN3
ANKDD1A	BIN3
APBA3	BIN3
ASB16	BIN3
AGGF1	BIRC3
AURKB	BIRC5
ARRDC3	BIRC6
ASCC2	BIRC6
ATXN3	BIRC6
ACRV1	BLID
ADM5	BLNK
AP3D1	BLOC1S1
ABHD12	BLOC1S2
BDH2	BLOC1S2
ADIPOR2	BLTP1
ADRA1D	BLTP3A
BDH2	BMERB1
ARGFX	BMF
BDH2	BMF
ABCG8	BMP1
BBS10	BMP3
AP1S2	BMP8A
ACVR1	BMPR1A
BMPR1A	BMPR2
ATP2C2	BNC1
BIN3	BNIP3L
ABTB1	BOC
ADAMTS17	BOK
ANKMY1	BOK
ANO7	BOK
ASB18	BOK
BBS5	BOLL
AURKA	BORA
BORCS5	BORCS7
BLOC1S5	BPHL
BFAR	BPI
ACSS2	BPIFA2
BPIFA1	BPIFA2
ARMC12	BPIFA3
AICDA	BPIFB3
BLCAP	BPIFB3
ARMC5	BRAT1
AUNIP	BRCA1
BARD1	BRCA1
BARD1	BRCA2
BRCA1	BRCA2
ABRAXAS2	BRCC3
BABAM2	BRCC3
BAP1	BRD2
ARID2	BRD7
BICRA	BRD9
BICRAL	BRD9
BBS5	BRDT
BDP1	BRF1
ANO5	BRINP3
ABI1	BRK1
ARF1	BRK1
ARPC4	BRK1
ASH1L	BRPF1
ADAMTS17	BTBD2
ADCK1	BTBD2
AMH	BTBD2
BOK	BTBD2
ASPG	BTBD6
BTBD2	BTBD6
